"ROM","PRESET #","PRESET NAME","RIFF NAME","ARP NAME","PRESET LAYER","INST #","INST NAME","SAMPLE NAMES"
"2500","287","vox:Talk to Me","BAS-BadTube","MENACEBEAT2b","2","265","vox:Pop Aahs","Aahs D#2 -- Aahs A2 -- Aahs D#3 -- Aahs F#3 -- Aahs C4 -- Aahs D#4 -- Aahs C3 -- Aahs F6"
"2500","287","vox:Talk to Me","BAS-BadTube","MENACEBEAT2b","3","264","vox:Pop Oohs","Oohs F#2 -- Oohs A2 -- Oohs C3 -- Oohs D#3 -- Oohs F#3 -- Oohs A3 -- Oohs D#4 -- Oohs F6"
"2500","288","vox:Harmony","KEY-C3 (4 Bars)","Burma","1","272","vox:Jax Breath","Jack's Breath D3"
"2500","288","vox:Harmony","KEY-C3 (4 Bars)","Burma","2","265","vox:Pop Aahs","Aahs D#2 -- Aahs A2 -- Aahs D#3 -- Aahs F#3 -- Aahs C4 -- Aahs D#4 -- Aahs C3 -- Aahs F6"
"2500","288","vox:Harmony","KEY-C3 (4 Bars)","Burma","4","273","vox:Vox Synth","Vox Synth C3 -- Vox Synth C6"
"2500","289","vox:Male","BAS-Fingered In","Phrophety","1","282","vox:Ah Hah","Ah Hah"
"2500","289","vox:Male","BAS-Fingered In","Phrophety","2","281","vox:Mmm Hmm","Mmm Hmm"
"2500","289","vox:Male","BAS-Fingered In","Phrophety","3","279","vox:Comon Vox","Com'n Vocal"
"2500","290","vox:Shimmerings","KEY-C3 (4 Bars)","Follow Me","1","217","str:Matrix Synth","MatrixStrings C3 -- MatrixStrings G5 -- JupiterStringsA6"
"2500","290","vox:Shimmerings","KEY-C3 (4 Bars)","Follow Me","2","271","vox:Choir Wave","Choir Wave C3"
"2500","290","vox:Shimmerings","KEY-C3 (4 Bars)","Follow Me","3","269","vox:Very Breathy","CMI Breath D3 -- CMI Breath D6"
"2500","290","vox:Shimmerings","KEY-C3 (4 Bars)","Follow Me","4","274","vox:Orch Vox","Orch Vox F1"
"2500","291","vox:ReflecSyn","KEY-C3 (4 Bars)","Odd Side","1","369","syn:Saw Stack","JupiterStringsA3 -- JupiterStringsA6"
"2500","291","vox:ReflecSyn","KEY-C3 (4 Bars)","Odd Side","2","273","vox:Vox Synth","Vox Synth C3 -- Vox Synth C6"
"2500","291","vox:ReflecSyn","KEY-C3 (4 Bars)","Odd Side","3","217","str:Matrix Synth","MatrixStrings C3 -- MatrixStrings G5 -- JupiterStringsA6"
"2500","291","vox:ReflecSyn","KEY-C3 (4 Bars)","Odd Side","4","320","wav:Dig Buzz Syn","Digi Buzz F0 -- Digi Buzz F3"
"2500","292","vox:Luna'sWood","WAV-vs37","Generate","1","266","vox:Soul Oohs","Soul Ooh C3"
"2500","292","vox:Luna'sWood","WAV-vs37","Generate","2","215","str:Tron","Tron Strings C3 -- Tron Strings G3 -- Tron Strings C4 -- Tron Strings G4 -- Tron Strings C5"
"2500","293","vox:TV Land","PRC-Acidphone","Get Out","1","306","wav:Chime","Chime Voice C4"
"2500","293","vox:TV Land","PRC-Acidphone","Get Out","3","310","wav:Hollow Deep","Hollow Deep B0"
"2500","293","vox:TV Land","PRC-Acidphone","Get Out","4","266","vox:Soul Oohs","Soul Ooh C3"
"2500","294","str:Orchestra1","STR-SitarTalk","Arp Major","1","213","str:Section","SectionStringB0 -- SectionStringE1 -- SectionStringA1 -- SectionStringD2 -- SectionStringG2 -- SectionStringC3 -- SectionStringF3 -- SectionStringA#3 -- SectionStringD#4 -- SectionStringG#4"
"2500","294","str:Orchestra1","STR-SitarTalk","Arp Major","2","589","prc:Marimba","Marimba C2 -- Marimba C3 -- Marimba C6"
"2500","294","str:Orchestra1","STR-SitarTalk","Arp Major","3","592","prc:Orchestral","Snare Roll -- Triple Roll -- Triple Roll -- Temple Block E4 -- Bass Drum G#1 -- Piatti F3 -- Triangle A#3 -- TimpDrum A1 -- Tam Tam"
"2500","295","str:Orchestra2","STR-ArcotremPizz","Arp Minor","1","213","str:Section","SectionStringB0 -- SectionStringE1 -- SectionStringA1 -- SectionStringD2 -- SectionStringG2 -- SectionStringC3 -- SectionStringF3 -- SectionStringA#3 -- SectionStringD#4 -- SectionStringG#4"
"2500","295","str:Orchestra2","STR-ArcotremPizz","Arp Minor","2","236","brs:Ensemble","Brass C3 -- Brass C3 -- Brass C3 -- Brass C3 -- Brass C4 -- Brass C4 -- Brass C4 -- Brass F#4 -- Brass F#4 -- Brass C5 -- Brass C6"
"2500","295","str:Orchestra2","STR-ArcotremPizz","Arp Minor","3","248","wnd:Clarinet","Clarinet E2 -- Clarinet A#2 -- Clarinet C#3 -- Clarinet E3 -- Clarinet G3 -- Clarinet A#3 -- Clarinet C#4 -- Clarinet E4 -- Clarinet G4 -- Clarinet A#4 -- Clarinet C#5 -- Clarinet E5"
"2500","295","str:Orchestra2","STR-ArcotremPizz","Arp Minor","4","246","wnd:Flute","Flute D3 -- Flute D4 -- Flute D5 -- Flute A5"
"2500","296","str:Section1","STR-AllinaPizz 3","Circular","1","213","str:Section","SectionStringB0 -- SectionStringE1 -- SectionStringA1 -- SectionStringD2 -- SectionStringG2 -- SectionStringC3 -- SectionStringF3 -- SectionStringA#3 -- SectionStringD#4 -- SectionStringG#4"
"2500","297","str:Section2","STR-AbbeyStrngs","Trimatic","1","213","str:Section","SectionStringB0 -- SectionStringE1 -- SectionStringA1 -- SectionStringD2 -- SectionStringG2 -- SectionStringC3 -- SectionStringF3 -- SectionStringA#3 -- SectionStringD#4 -- SectionStringG#4"
